ZBIN,ALL,ELG,LRG,BGS
-0.04782857142857143,0,0,0,0
-0.023485714285714287,0,0,0,0
0.0008571428571428584,75411,13677,995,14589
0.0252,103516,6101,358,84840
0.04954285714285714,189537,11872,940,160865
0.07388571428571428,312882,24707,1576,265592
0.09822857142857143,370668,42929,1770,307503
0.12257142857142857,439808,41358,1825,380014
0.14691428571428572,481769,29018,2092,434776
0.17125714285714283,506326,23893,2744,465127
0.1956,535176,21939,4294,496045
0.21994285714285713,534302,18494,6914,499734
0.24428571428571427,501913,14666,10270,472813
0.26862857142857144,482611,12686,14253,456137
0.29297142857142855,429263,10865,18841,405451
0.31731428571428566,378375,10909,27852,354256
0.3416571428571429,342302,7463,48875,320750
0.366,299597,5686,66816,277279
0.3903428571428571,254060,4503,73413,230174
0.41468571428571427,208147,4062,75940,181580
0.43902857142857143,176037,6552,78657,140916
0.46337142857142855,149795,9069,78608,102797
0.48771428571428566,127963,7768,78015,71739
0.5120571428571429,117088,6849,80931,49694
0.5364,112075,5581,84150,35290
0.5607428571428571,112093,6588,88510,24190
0.5850857142857143,109317,6533,89723,15474
0.6094285714285714,112398,7193,94157,8964
0.6337714285714285,113056,8268,94938,4768
0.6581142857142857,119803,11770,98147,2842
0.6824571428571428,126312,15967,100478,1747
0.7068,140054,28797,102336,959
0.7311428571428571,158220,43300,105922,885
0.7554857142857142,183156,60167,114238,728
0.7798285714285714,207041,76822,122162,483
0.8041714285714285,232000,93997,130563,326
0.8285142857142856,236986,105972,124228,238
0.8528571428571429,244685,120238,118259,183
0.8772,242163,124880,111295,157
0.9015428571428571,236612,129558,101285,138
0.9258857142857143,232437,138527,88884,141
0.9502285714285714,221047,137439,78900,116
0.9745714285714285,203235,134680,64166,175
0.9989142857142856,185808,129717,51654,185
1.0232571428571426,175919,127455,42697,412
1.0475999999999999,156419,118028,33994,123
1.071942857142857,145432,114604,26406,97
1.096285714285714,134547,109788,20512,113
1.1206285714285713,127964,107892,16079,96
1.1449714285714285,123516,107386,12076,103
1.1693142857142855,119105,105837,8982,126
1.1936571428571428,114972,104595,6435,96
1.218,110253,101706,4604,138
1.242342857142857,106827,99783,3256,119
1.2666857142857142,102139,96293,2466,72
1.2910285714285714,98233,92941,1782,276
1.3153714285714284,98622,93044,1518,462
1.3397142857142856,95599,91246,892,172
1.3640571428571429,92564,88592,600,265
1.3883999999999999,89040,85493,387,175
1.4127428571428569,84804,81479,231,164
1.4370857142857143,82799,79819,172,91
1.4614285714285713,79615,76764,126,81
1.4857714285714283,75492,71910,185,207
1.5101142857142857,65032,60095,275,277
1.5344571428571427,52105,48130,183,190
1.5587999999999997,48769,46102,82,100
1.5831428571428572,45000,42629,90,61
1.6074857142857142,37792,34668,216,234
1.6318285714285712,21448,14116,901,1175
1.6561714285714284,8667,2429,1858,1600
1.6805142857142856,9428,1895,1973,2078
1.7048571428571426,2256,566,659,435
1.7291999999999998,0,0,0,0
1.753542857142857,0,0,0,0
1.777885714285714,0,0,0,0
1.8022285714285713,0,0,0,0
1.8265714285714285,0,0,0,0
1.8509142857142855,0,0,0,0
1.8752571428571427,0,0,0,0
1.8996,0,0,0,0
1.923942857142857,0,0,0,0
1.9482857142857144,0,0,0,0
1.9726285714285714,0,0,0,0
1.9969714285714284,0,0,0,0
2.0213142857142854,0,0,0,0
2.045657142857143,0,0,0,0
2.07,0,0,0,0
2.0943428571428573,0,0,0,0
2.1186857142857143,0,0,0,0
2.1430285714285713,0,0,0,0
2.1673714285714283,0,0,0,0
2.1917142857142853,0,0,0,0
2.2160571428571427,0,0,0,0
2.2403999999999997,0,0,0,0
2.264742857142857,0,0,0,0
2.289085714285714,0,0,0,0
2.313428571428571,0,0,0,0
2.337771428571428,0,0,0,0
2.3621142857142856,0,0,0,0
2.3864571428571426,0,0,0,0
2.4108,0,0,0,0
2.435142857142857,0,0,0,0
2.459485714285714,0,0,0,0
2.483828571428571,0,0,0,0
2.5081714285714285,0,0,0,0
2.5325142857142855,0,0,0,0
2.556857142857143,0,0,0,0
2.5812,0,0,0,0
2.605542857142857,0,0,0,0
2.629885714285714,0,0,0,0
2.6542285714285714,0,0,0,0
2.6785714285714284,0,0,0,0
2.702914285714286,0,0,0,0
2.727257142857143,0,0,0,0
2.7516,0,0,0,0
2.775942857142857,0,0,0,0
2.800285714285714,0,0,0,0
2.8246285714285713,0,0,0,0
2.8489714285714283,0,0,0,0
2.8733142857142857,0,0,0,0
2.8976571428571427,0,0,0,0
2.9219999999999997,0,0,0,0
2.9463428571428567,0,0,0,0
2.970685714285714,0,0,0,0
2.995028571428571,0,0,0,0
3.0193714285714286,0,0,0,0
3.0437142857142856,0,0,0,0
3.0680571428571426,0,0,0,0
3.0923999999999996,0,0,0,0
3.116742857142857,0,0,0,0
3.141085714285714,0,0,0,0
3.1654285714285715,0,0,0,0
3.1897714285714285,0,0,0,0
3.2141142857142855,0,0,0,0
3.2384571428571425,0,0,0,0
3.2628,0,0,0,0
3.287142857142857,0,0,0,0
3.3114857142857144,0,0,0,0
3.3358285714285714,0,0,0,0
3.3601714285714284,0,0,0,0
3.3845142857142854,0,0,0,0
3.4088571428571424,0,0,0,0
3.4332,0,0,0,0
3.457542857142857,0,0,0,0
3.4818857142857143,0,0,0,0
3.5062285714285713,0,0,0,0
3.5305714285714282,0,0,0,0
3.5549142857142852,0,0,0,0
3.5792571428571427,0,0,0,0
3.6035999999999997,0,0,0,0
3.627942857142857,0,0,0,0
3.652285714285714,0,0,0,0
3.676628571428571,0,0,0,0
3.700971428571428,0,0,0,0
3.7253142857142856,0,0,0,0
3.7496571428571426,0,0,0,0
3.774,0,0,0,0
3.798342857142857,0,0,0,0
3.822685714285714,0,0,0,0
3.847028571428571,0,0,0,0
3.8713714285714285,0,0,0,0
3.8957142857142855,0,0,0,0
3.920057142857143,0,0,0,0
3.9444,0,0,0,0
3.968742857142857,0,0,0,0
3.993085714285715,0,0,0,0
4.017428571428572,0,0,0,0
4.041771428571429,0,0,0,0
4.066114285714286,0,0,0,0
4.090457142857143,0,0,0,0
4.114800000000001,0,0,0,0
4.139142857142858,0,0,0,0
4.163485714285715,0,0,0,0
4.187828571428572,0,0,0,0
